keyword,name,host,url,kind,export_formats_observed,css_export,css_file_downloaded,css_bytes,at_keyframes,animation,steps_open,background_position,evidence,measured_on
sprite sheet maker,spritesheetgenerator.online,spritesheetgenerator.online,https://spritesheetgenerator.online/,web tool,"PNG, JSON, ZIP, GIF — quoted from the page: ""Export as PNG, or JSON, ZIP, or GIF if your engine prefers it.""",unknown,no,,,,,,"real Chrome read; 4 test frames uploaded; export area reached; no CSS option seen",2026-09-15
sprite sheet maker,finalparsec,www.finalparsec.com,https://www.finalparsec.com/tools/sprite_sheet_maker,web tool,"CSS file downloaded (sprite_sheet.css) plus the packed image",yes,yes,644,0,0,0,4,"file downloaded and opened; counts are literal string counts in the CSS text",2026-09-15
sprite sheet maker,CodeAndWeb free sprite sheet packer,www.codeandweb.com,https://www.codeandweb.com/free-sprite-sheet-packer,web tool,"JSON (hash) seen in the export area; no CSS option seen",unknown,no,,,,,,"real Chrome read; 4 test frames uploaded",2026-09-15
sprite sheet maker,spritesheetmaker.com,spritesheetmaker.com,https://spritesheetmaker.com/,web tool,"PNG + JSON + CSS + XML (export format toggles on the page)",yes,yes,473,0,0,0,4,"spritesheet.zip downloaded by clicking Download ZIP in a real Chrome; counts from spritesheet.css",2026-09-15
sprite sheet maker,codeshack,codeshack.io,https://codeshack.io/images-sprite-sheet-generator/,web tool,not observed,unknown,no,,,,,,"page opened; no file input and no export control found, so nothing could be downloaded",2026-09-15
sprite sheet maker,sprite-ai.art,www.sprite-ai.art,https://www.sprite-ai.art/tools/sprite-sheet-maker,AI site,"PNG, or PNG + JSON together in a ZIP — quoted from the page",unknown,no,,,,,,"real Chrome read; 4 test frames uploaded",2026-09-15
sprite sheet maker,pixellab.ai,www.pixellab.ai,https://www.pixellab.ai/,AI site,not observed,unknown,no,,,,,,"page opened; export sits behind sign-up, not measured",2026-09-15
texture packer,CodeAndWeb TexturePacker,www.codeandweb.com,https://www.codeandweb.com/texturepacker,desktop software,"many engine data formats; page says you can also create your own custom format",unknown,no,,,,,,"page text read; desktop product, nothing to download from the page",2026-09-15
texture packer,CodeAndWeb TexturePacker download page,www.codeandweb.com,https://www.codeandweb.com/texturepacker/download,download page,not applicable,unknown,no,,,,,,"page text read (changelog); no export area on the page",2026-09-15
texture packer,TexturePacker Online,www.codeandweb.com,https://www.codeandweb.com/tp-online,web tool,"JSON (a Format control is present); no CSS option seen",unknown,no,,,,,,"real Chrome read; 4 test frames uploaded",2026-09-15
texture packer,free-tex-packer (odrick),github.com,https://github.com/odrick/free-tex-packer,open-source repo,not measured,unknown,no,,,,,,"repository page read; package not installed or run",2026-09-15
texture packer,libGDX texture packer wiki,libgdx.com,https://libgdx.com/wiki/tools/texture-packer,documentation,not applicable,unknown,no,,,,,,"documentation page read",2026-09-15
texture packer,ToolBuddy Texture Packer,www.toolbuddy.io,https://www.toolbuddy.io/texturepacker,web tool,"16 export presets incl. CSS (exporter dropdown)",yes,yes,659,0,0,0,4,"atlas.zip downloaded by clicking Export package then Export ZIP in a real Chrome; counts from atlas.sprites.css",2026-09-15
texture packer,Texture Packer (Unity Asset Store),assetstore.unity.com,https://assetstore.unity.com/packages/tools/sprite-management/texture-packer-264773,store plugin,not measured,unknown,no,,,,,,"store page read; plugin not installed",2026-09-15
n/a,cutmyimage.com sprite sheet maker,cutmyimage.com,https://cutmyimage.com/sprite-sheet-maker/,web tool (this project's site),"PNG, JSON, CSS",yes,yes,913,1,3,0,9,"our own export, downloaded and counted the same way; the animation uses step-end, not steps()",2026-09-15
